region;country;zone;lat;lon;url;ref
europe;italy;sellano tibetan bridge;42.890211;12.9293977;*;*
europe;austria;kaprun maiskogel;47.229531;12.726045;*;*
europe;italy;sardinia stintino la pelosa;40.9629654;8.2071447;*;*
europe;spain;santiago de compostela praza das praterias;42.8800266;-8.5441996;*;*
europe;austria;zauchensee weltcuparena;47.2906831;13.4571807;*;*
europe;france;andernos les bains esplanade de la jetee;44.7383636;-1.1017166;*;*
europe;spain;majorca calvia son bugadelles;39.5316721;2.510063;*;*
europe;germany;dortmund hansaplatz weihnachtsmarkt;51.5078845;7.4702625;*;*
europe;switzerland;kussnacht am rigi lake lucerne;47.0814228;8.4483502;*;*
europe;croatia;rovinj borik beach;45.1056745;13.6456528;*;*
europe;croatia;pag novalja obala petra kresimira iv;44.5541797;14.8845924;*;*
europe;switzerland;silvaplana piz surlej;46.4531994;9.84312;*;*
europe;sweden;stora blasjon stor blasjon;64.8365309;14.0831479;*;*
europe;france;cannes le vieux port;43.5500061;7.0145829;*;*
europe;greece;alonnisos harbour;39.144426;23.865507;*;*
europe;russia;kopeysk;55.0846291;61.5752177;*;*
europe;italy;gorizia piedimonte;45.9393022;13.5942487;*;*
europe;portugal;carvoeiro beach;37.1027027;-8.469879;*;*
europe;germany;sankt peter ording badestelle ording badestelle bad erlebnis promenade;54.3097492;8.6096015;*;*
europe;estonia;otepaa munakas sport resort;58.0403122;26.5084587;*;*
europe;albania;durres beach;41.2884069;19.4936782;*;*
europe;germany;munchsmunster bees;48.76776;11.6779103;*;*
europe;norway;hovden ski resort;59.5636568;7.3474777;*;*
europe;germany;sipplingen lake constance obersee;47.7984444;9.0985285;*;*
europe;united kingdom;isles of scilly hugh town town beach;49.9131711;-6.3146948;*;*
europe;united kingdom;brightlingsea beach;51.8058485;1.0125082;*;*
europe;czech republic;chvalcov svaty hostyn;49.3769439;17.7;*;*
europe;greece;arachova panoramic view;38.4162153;22.6267831;*;*
europe;austria;wildschonau schatzberg gernalm;47.3847179;11.9901372;*;*
europe;switzerland;martigny place centrale;46.1013574;7.072928;*;*
europe;germany;sylt marine golf club sylt eg;54.923045;8.33609;*;*
europe;germany;kleinostheim storks;50.024408;9.0313428;*;*
europe;croatia;crikvenica piazza stjepan radic;45.1731909;14.6902362;*;*
europe;germany;bad zwischenahn marktplatz kurpark;53.1921468;8.0153235;*;*
europe;greece;aithikes neraidochori;39.5288397;21.4375634;*;*
europe;bosnia and herzegovina;masna luka hajducke vrleti;43.6530877;17.5330124;*;*
europe;iceland;thingeyri dyrafjordur hofdi;65.8765059;-23.445481;*;*
europe;italy;palermo mount pellegrino;38.1709697;13.353024;*;*
europe;belgium;destelbergen rbsc heusden;51.0464046;3.805438;*;*
europe;france;saint tropez harbour;43.272517;6.636278;*;*
europe;greece;naxos island st george beach;37.099271;25.3748659;*;*
europe;lithuania;klaipeda melnrages molas;55.7303819;21.0804809;*;*
europe;france;veulettes sur mer butte du catellier;49.8512801;0.6002821;*;*
europe;italy;verona piazza bra;45.4384761;10.9929582;*;*
europe;italy;marina di pisa harbour;43.6780418;10.2715804;*;*
europe;germany;scheidegg skywalk allgau adventure park;47.5642529;9.8274493;*;*
europe;italy;marotta beach;43.7652955;13.1407194;*;*
europe;italy;ormea chionea pizzo dormea;44.1630524;7.8533337;*;*
europe;malta;marsaxlokk harbour;35.8408013;14.5458294;*;*
europe;portugal;matosinhos beach;41.1763696;-8.6926763;*;*
